caw_code,polling_centre_code,polling_centre_name,polling_centre_key
9,2,KISAUNI WATER & SEWERAGE OFFICES,46
9,3,KADONGO GROUNDS - MISHOMORONI,47
9,4,SNAKE VALLEY GROUNDS,48
10,5,NASA JUNIOR ACADEMY,49
10,6,MANYANI GROUNDS,50
10,7,IFC CHURCH,51
10,8,EMMAS ACADEMY,52
10,9,NEW HOPE SECONDARY SCHOOL - MAKUMBA,53
10,10,ASSISTANT CHIEF'S CAMP - MACHAFUKO,54
11,11,KASHANI PRIMARY SCHOOL,55
11,12,MAJAONI PRIMARY SCHOOL,56
11,13,KIEMBENI PRIMARY SCHOOL,57
11,14,ST. ELIZABETH ACADEMY,58
11,15,MDENGEREKENI PRIMARY SCHOOL,59
12,16,MARIMANI PRIMARY SCHOOL,60
12,17,COLORADO PRIMARY SCHOOL,61
12,18,VORONI COMMUNITY PRIMARY SCHOOL,62
12,19,MAUNGUJA PRIMARY SCHOOL,63
12,20,MWAKIRUNGE PRIMARY SCHOOL,64
13,21,KIEMBENI BAPTIST PRIMARY SCHOOL,65
13,22,MTOPANGA PRIMARY SCHOOL,66
13,23,CONCORDIA PRIMARY SCHOOL,67
13,24,COMMUNITY OF CHRIST CHURCH-MTOPANGA,68
13,25,ST.JOSEPHS HERMAN PRIMARY SCHOOL,69
13,26,PERMA SHARP GROUNDS,70
14,27,MISHOMORONI JUNIOR ACADEMY,71
14,28,MWANDONI (KISHADA) PLAY GROUNDS,72
14,29,BARSHEBA SOKONI GROUNDS,73
14,30,MWANDONI BLUE BENCH GROUNDS,74
14,31,MWANDONI KWA MTUMWA GROUNDS,75
14,32,MJAHIDINA MUSLIM SCHOOL,76
15,33,MIKOROSHONI PRIMARY SCHOOL,77
15,34,UTANGE PRIMARY SCHOOL,78
15,35,MWEMBELEGEZA NURSERY SCHOOL,79
15,36,ZIMLAT PRIMARY SCHOOL,80
15,37,BAMBURI PRIMARY SCHOOL,81
15,38,SHANZU TEACHERS TRAINING COLLEGE,82
15,39,SHIMO LA TEWA PRIMARY SCHOOL,83
16,1,KHADIJA PRIMARY SCHOOL,84
16,2,FADHIL-ADHYM PRIMARY SCHOOL,85
16,3,MLALEO PRIMARY SCHOOL,86
16,4,FRERE TOWN PRIMARY SCHOOL,87
16,5,MWANDONI KADIRIA GROUNDS,88
16,6,VICTORIA BAPTIST PRIMARY SCHOOL,89
16,7,SARAJEVO GROUNDS,90
17,8,NATIONAL INDUSTRIAL TRAINING AUTHORITY- MOMBASA,91
17,9,ZIWA LA NG'OMBE PRIMARY SCHOOL,92
17,10,OLIVE REHABILITATION CENTRE - MKUNGUNI,93
17,11,TUMAINI ACADEMY/CHURCH OF CHRIST,94
18,12,MAWENI PRIMARY SCHOOL,95
18,13,NYALI ELIM FELLOWSHIP CHURCH,96
18,14,ST. KEVIN ACADEMY MKOMANI,97
18,15,ASK GROND - GATE'A',98
18,16,MKOMANI GROUNDS - NYALI,99
19,17,KONGOWEA PRIMARY SCHOOL,100
19,18,KWA KARAMA GROUNDS,101
19,19,KENGELENI PRIMARY SCHOOL,102
19,20,MUNICIPAL SOCIAL HALL - KONGOWEA,103
19,21,METHODIST CHURCH - KONGOWEA,104
20,22,BOMBOLULU ESTATE - POSTA,105
20,23,BOMBOLULU CULTURAL CENTRE WORKSHOP HALL,106
20,24,BAHAWANI PRIMARY SCHOOL,107
20,25,BASHIR PRIMARY SCHOOL,108
20,26,KADZANDANI PRIMARY SCHOOL,109
20,27,MARIANIST POLYTECHNIC,110
20,28,SOWETO GROUNDS,111
20,29,MWATAMBA GROUNDS,112
20,30,BARAKA HIGH SCHOOL,113
21,1,MTONGWE PRIMARY SCHOOL,114
21,2,LONGO PRIMARY SCHOOL,115
21,3,MTONGWE SOCIAL HALL,116
21,4,VIJIWENI PRIMARY SCHOOL,117
21,5,MWANGALA PRIMARY SCHOOL,118
21,6,MWEZA PRIMARY SCHOOL,119
21,7,MKWAJUNI MARKET,120
21,8,ST.JOSEPH NURSARY SCHOOL,121
22,9,SHIKA ADABU PRIMARY SCHOOL,122
22,10,CONSOLATA PRIMARY SCHOOL,123
22,11,VYEMANI PRIMARY SCHOOL,124
22,12,VIJIWENI GROUNDS,125
22,13,UJAMAA GROUNDS,126
23,14,DARU ULUM MADRASA,127
23,15,JAMVI LA WAGENI PRIMARY SCHOOL,128
23,16,PELELEZA PRIMARY SCHOOL,129
23,17,LIKONI MUSLIM PRIMARY SCHOOL,130
24,18,LIKONI PRIMARY SCHOOL,131
24,19,THE VISION SENIOR SCHOOL,132
25,20,LIKONI FLATS SOCIAL HALL,133
25,21,CONSOLATA NURSERY SCHOOL,134
25,22,TIMBWANI PRIMARY SCHOOL,135
25,23,MRIMA PRIMARY SCHOOL,136
25,24,USHINDI BAPTIST PRIMARY SCHOOL,137
25,25,MAJI SAFI PRIMARY SCHOOL,138
25,26,MAJENGO MAPYA -MUZDALIFA,139
26,1,KADERBHOY OLD TOWN DISPNSARY,140
26,2,FORT JESUS MUSEUM,141
26,3,COAST GIRLS SECONDARY SCHOOL,142
26,4,STAR OF THE SEA PRIMARY SCHOOL,143
26,5,MBARAKI PRIMARY SCHOOL,144
26,6,SONARA SOCIAL HALL,145
26,7,ALLIDINA VISRAM HIGH SCHOOL,146
26,8,HAJAM JAMAAT HALL,147
26,9,SERANI PRIMARY  SCHOOL,148
26,10,MOMBASA PRIMARY SCHOOL,149
26,11,GOVERNMENT TRAINING INSTITUTE MOMBASA(GTI),150
26,12,TIJARA GARDENS,151
27,13,TUDOR VILLAGE HALL,152
27,14,ST. AUGUSTINE PRIMARY SCHOOL,153
27,15,TUDOR PRIMARY SCHOOL,154
27,16,R. G. NGALA PRIMARY SCHOOL,155
27,17,FAHARI PRIMARY SCHOOL,156
27,18,SPARKI PRIMARY SCHOOL,157
27,19,BURHANIA PRIMARY SCHOOL,158
27,20,MUNICIPAL INSPECTORATE OFFICES,159
27,21,TUDOR DAY SECONDARY SCHOOL,160
27,22,KPA HALL MAKANDE,161
27,23,KHAMISI SECONDARY SCHOOL,162
28,24,MWEMBE-TAYARI PUBLIC HEALTH CLINIC (PHC),163
28,25,KUMBAR PRIMARY SCHOOL,164
28,26,AL-AMANI SOCIAL HALL - FLORINGI,165
28,27,SHARIFF NASSIR SECONDARY SCHOOL,166
28,28,CHANDARIA HALL,167
28,29,KIKOWANI PRIMARY SCHOOL,168
28,30,TONONOKA SOCIAL HALL,169
28,31,TONONOKA NURSERY SCHOOL,170
28,32,MUNICIPAL STADIUM,171
28,33,CENTRAL GIRLS PRIMARY SCHOOL,172
28,34,BUXTON ESTATE HALL,173
29,35,PUBLIC WORKS OFFICES,174
29,36,MAKANDE KPA NURSERY SCHOOL,175
29,37,MAKUPA PRIMARY SCHOOL,176
29,38,MAKANDE PRIMARY SCHOOL,177
29,39,SHIMANZI KPA NURSERY SCHOOL,178
29,40,KPA HALL HIGH LEVEL,179
29,41,LITTLE THEATRE CLUB,180
29,42,SACRED HEART PRIMARY SCHOOL,181
29,43,KPA SOCIAL HALL,182
29,44,BANDARI COLLEGE,183
29,45,GANJONI MUNICIPAL CLINIC,184
29,46,MAJENGO PRIMARY SCHOOL,185
29,47,KINGORANI PRISON (JELA BARIDI),186
30,48,PATEL SAMAJ HALL,187
30,49,GURU NANAK PRIMARY SCHOOL,188
30,50,MWEMBE-TAYARI PUBLIC HEALTH DEPARTMENT (PHD),189
30,51,KOBLENZ HALL,190
30,52,UHURU GARDENS,191
30,53,LOHANA HALL,192
30,54,LASCO SOCIAL HALL (KPA),193
30,55,QUBAA PRIMARY SCHOOL,194
30,56,MAJENGO VILLAGE HALL,195
30,57,SAKINA HALL,196
30,58,MVITA PRIMARY SCHOOL,197
31,1,MWARONI PRIMARY SCHOOL,198
31,2,MWAKAMBA NURSERYSCHOOL,199
31,3,SHAMU PRIMARY SCHOOL,200
31,4,MWAMANGA PRIMARY SCHOOL,201
31,5,MABOKONI PRIMAR SCHOOL,202
31,6,BONGWE PRIMARY SCHOOL,203
31,7,MBUWANI PRIMARY SCHOOL,204
31,8,MWAMAMBI PRIMARY SCHOOL,205
31,9,JOGOO FOOTBALL GROUNDS,206
31,10,MINISTRY OF WORKS QUARTERS,207
31,11,MLUNGU NIPA PRIMARY SCHOOL,208
31,12,MWANJAMBA PRIMARY SCHOOL,209
31,13,VUKANI PRIMARY SCHOOL,210
32,14,MWAKIGWENA PRIMARY SCHOOL,211
32,15,MKWAKWANI PRIMARY SCHOOL,212
32,16,MAGUTU PRIMARY SCHOOL,213
32,17,MVINDENI PRIMARY SCHOOL,214
32,18,UKUNDA SECONDARY SCHOOL,215
32,19,MALALANI PRIMARY SCHOOL,216
32,20,MAWENI RAINBOW SCHOOL,217
33,21,GALU PRIMARY SCHOOL,218
33,22,MUHAKA PRIMARY SCHOOL,219
33,23,KINONDO PRIMARY SCHOOL,220
33,24,MAKONGENI PRIMARY SCHOOL,221
33,25,ZIGIRA PRIMARY SCHOOL,222
33,26,MKWAMBANI PRIMARY SCHOOL,223
33,27,GAZI PRIMARY SCHOOL,224
33,28,MAGAONI PRIMARY SCHOOL,225
33,29,MWAWECHE TRADING CENTRE,226
33,30,MADAGO PRIMARY SCHOOL,227
33,31,KILOLE PRIMARY SCHOOL,228
33,32,MWABUNGO PRIMARY SCHOOL,229
34,33,VINGUJINI PRIMARY SCHOOL,230
34,34,MSAMBWENI PRIMARY SCHOOL,231
34,35,JOMOKENYATTA PRIMARY SCHOOL,232
34,36,MILALANI PRIMARY SCHOOL,233
34,37,MWAGUNDU NURSERY SCHOOL,234
34,38,NYUMBA SITA NURSERY SCHOOL,235
34,39,GONJORA NURSERY SCHOOL,236
34,40,NGANJA PRIMARY SCHOOL,237
34,41,MIVUMONI PRIMARY SCHOOL,238
34,42,ESHU PRIMARY SCHOOL,239
34,43,MWACHANDE PRIMARY SCHOOL,240
34,44,FINGIRIKA NURSERYSCHOOL,241
34,45,MAFISINI PRIMARY SCHOOL,242
34,46,MAGODI PRIMARY SCHOOL,243
34,47,KIDZUMBANI PRIMARY SCHOOL,244
34,48,MAPHOMBE PRIMARY SCHOOL,245
34,49,KINGWEDE PRIMARY SCHOOL,246
34,50,MUNJE PRIMARY SCHOOL,247
34,51,FUNZI PRIMARY SCHOOL,248
34,52,RAMISI PRIMARY SCHOOL,249
34,53,BODO PRIMARY SCHOOL,250
34,54,SHIRAZI PRIMARY SCHOOL,251
34,55,FAHAMUNI PRIMARY SCHOOL,252
34,56,NDZOVUNI NURSERY SCHOOL,253
34,57,VIDUNGENI TRADING CENTRE,254
34,58,KILULU PRIMARY SCHOOL,255
34,59,DZIBWAGE PRIMARY SCHOOL,256
34,60,DARIGUBE NURSERY SCHOOL,257
35,1,SHIMONI PRIMARY SCHOOL,258
35,2,KICHAKA MKWAJU PRIMARY SCHOOL,259
35,3,WASINI PRIMARY SCHOOL,260
35,4,MKWIRO PRIMARY SCHOOL,261
35,5,KIDIMU PRIMARY SCHOOL,262
35,6,TSWAKA PRIMARY SCHOOL,263
35,7,MZIZIMA PRIMARY SCHOOL,264
35,8,MAJORENI PRIMARY SCHOOL,265
35,9,GANDA PRIMARY SCHOOL,266
35,10,MWANGWEI PRIMARY SCHOOL,267
35,11,CHIROMO NURSERY SCHOOL,268
35,12,MWAZARO NURSERY SCHOOL,269
35,13,MZIZIMA DISPENSARY,270
35,14,KIKONENI PRIMARY SCHOOL,271
35,15,MWANDEO PRIMARY SCHOOL,272
35,16,MABAFWENI PRIMARY SCHOOL,273
35,17,VWIVWINI PRIMARY SCHOOL,274
35,18,MWAMBALAZI PRIMARY SCHOOL,275
35,19,KIGOMBERO PRIMARY SCHOOL,276
35,20,MSHIU PRIMARY SCHOOL,277
35,21,KIRUKU PRIMARY SCHOOL,278
35,22,KANANA NURSERY SCHOOL,279
35,23,NIKAPHU NURSERY SCHOOL,280
35,24,MWAUGA NURSERY SCHOOL,281
35,25,BWITI PRIMARY SCHOOL,282
35,26,MWARUTSWA TRADING CENTRE,283
36,27,MWANANYAMALA PRIMARY SCHOOL,284
36,28,MAMBA PRIMARY SCHOOL,285
36,29,MRIMA PRIMARY SCHOOL,286
36,30,MGOME PRIMARY SCHOOL,287
36,31,MWANGUDA PRIMARY SCHOOL,288
36,32,VITSANGALAWENI PRIMARY SCHOOL,289
36,33,MENZA MWENYE PRIMARY SCHOOL,290
36,34,BENGO PRIMARY SCHOOL,291
36,35,KIRANZE PRIMARY SCHOOL,292
36,36,DZOMBO PRIMARY SCHOOL,293
36,37,KITUNGURE PRIMARY SCHOOL,294
36,38,KINYUNGU PRIMARY SCHOOL,295
36,39,NGULUKU PRIMARY SCHOOL,296
36,40,BANDU PRIMARY SCHOOL,297
36,41,KIKONDE PRIMARY SCHOOL,298
36,42,MAKAMBANI TRADING CENTRE,299
37,43,PANGANI PRIMARY SCHOOL,300
37,44,KASEMENI PRIMARY SCHOOL,301
37,45,MZURI NURSERY SCHOOL,302
37,46,MABAMBARANI PRIMARY SCHOOL,303
37,47,MWENA PRIMARY SCHOOL,304
37,48,MALEDI PRIMARY SCHOOL,305
37,49,MWANGULU PRIMARY SCHOOL,306
37,50,MANDA PRIMARY SCHOOL,307
37,51,MBUJI PRIMARY SCHOOL,308
37,52,KILIMANGODO PRIMARY SCHOOL,309
37,53,MAGOMBANI PRIMARY SCHOOL,310
37,54,MWAKALANGA PRIMARY SCHOOL,311
37,55,BIDINIMOLE PRIMARY SCHOOL,312
37,56,MTUMWA PRIMARY SCHOOL,313
37,57,MTEZA PRIMARY SCHOOL,314
37,58,MWERENI PRIMARY SCHOOL,315
37,59,MARINGONI FEEDER SCHOOL,316
37,60,MTSUNGA PRIMARY SCHOOL,317
37,61,MWERENI SECONDARY SCHOOL,318
37,62,KALALANI PRIMARY SCHOOL,319
37,63,MWAMTSEFU PRIMARY SCHOOL,320
37,64,KIDZIWENI TRADING CENTRE,321
38,65,VANGA PRIMARY SCHOOL,322
38,66,KIWEGU PRIMARY SCHOOL,323
38,67,KIDOMAYA PRIMARY SCHOOL,324
38,68,MWAMOSE PRIMARY SCHOOL,325
38,69,TSUINI PRIMARY SCHOOL,326
38,70,MWALEWA PRIMARY SCHOOL,327
38,71,NGATHINI PRIMARY SCHOOL,328
38,72,JEGO PRIMARY SCHOOL,329
38,73,MGOMBEZI PRIMARY SCHOOL,330
38,74,MAHURUNI PRIMARY SCHOOL,331
38,75,LUNGA LUNGA PRIMARY SCHOOL,332
38,76,PERANI PRIMARY SCHOOL,333
38,77,MAKWENYENI PRIMARY SCHOOL,334
38,78,GODO PRIMARY SCHOOL,335
38,79,JUA KALI NURSERY SCHOOL,336
39,1,GALANA NURSERY SCHOOL,337
39,2,MWANANYAHI NURSERY SCHOOL,338
39,3,CHIRIMANI PRIMARY SCHOOL,339
39,4,DIMA PRIMARY SCHOOL,340
39,5,JORORI PRIMARY SCHOOL,341
39,6,MWAMGUNGA PRIMARY SCHOOL,342
39,7,VUGA PRIMARY SCHOOL,343
39,8,BILA SHAKA PRIMARY SCHOOL,344
39,9,KWALE PRIMARY SCHOOL,345
39,10,ZIWANI PRIMARY SCHOOL,346
39,11,GOLINI PRIMARY SCHOOL,347
39,12,VYONGWANI PRIMARY SCHOOL,348
39,13,MTEZA PRIMARY SCHOOL,349
39,14,MBUGUNI PRIMARY SCHOOL,350
39,15,MWAMBARA PRIMARY SCHOOL,351
39,16,KITSANZE PRIMARY SCHOOL,352
39,17,GODONI CHINARINI NURSERY SCHOOL,353
39,18,MADRASA IQRA NURSERY SCHOOL,354
39,19,MWANZWANI NURSERY SCHOOL,355
39,20,LUNGUMA PRIMARY SCHOOL,356
39,21,MWANGAZA VISIONARY PRIMARY SCHOOL,357
39,22,KWALE HIGH SCHOOL,358
39,23,KWALE BARAZA PARK GROUNDS,359
39,24,PUBLIC WORKS WORKSHOP ZUNGU,360
39,25,MSULWA PRIMARY SCHOOL,361
39,26,BOYANI PRIMARY SCHOOL,362
39,27,KWALE MEDIUM PRISON,363
39,28,MBEGANI NURSERY SCHOOL,364
40,29,JAMIA NURSERY SCHOOL,365
40,30,KITEJE PRIMARY SCHOOL,366
40,31,NINGAWA PRIMARY SCHOOL,367
40,32,MKUMBI PRIMARY SCHOOL,368
40,33,PUNGU PRIMARY SCHOOL,369
40,34,ZIBANI PRIMARY SCHOOL,370
40,35,NG OMBENI PRIMARY SCHOOL,371
40,36,DENYENYE PRIMARY SCHOOL,372
40,37,WAA PRIMARY SCHOOL,373
40,38,MKOKONI PRIMARY SCHOOL,374
40,39,MATUGA PRIMARY SCHOOL,375
40,40,YEJE PRIMARY SCHOOL,376
40,41,SHEEP AND GOATS SOCIAL HALL,377
40,42,KOMBANI PRIMARY SCHOOL,378
40,43,BOWA PRIMARY SCHOOL,379
40,44,BARARABU NURSERY SCHOOL,380
40,45,VORONI PRIMARY SCHOOL,381
40,46,MBWEKA PRIMARY SCHOOL,382
41,47,VINUNI PRIMARY SCHOOL,383
41,48,CHAI PRIMARY SCHOOL,384
41,49,MWALIGULU PRIMARY SCHOOL,385
41,50,TIWI PRIMARY SCHOOL,386
41,51,KIRUDI PRIMARY SCHOOL,387
41,52,MWADINDA PRIMARY SCHOOL,388
41,53,MWACHEMA PRIMARY SCHOOL,389
41,54,NIMUYUMBA PRIMARY SCHOOL,390
41,55,CHONGOLO PRIMARY SCHOOL,391
41,56,MUUNGANO PRIMARY SCHOOL,392
41,57,MWAMLONGO MADRASSA,393
41,58,MWAMIVI PRIMARY SCHOOL,394
42,59,LUKORE PRIMARY SCHOOL,395
42,60,MKANDA PRIMARY SCHOOL,396
42,61,KICHAKA SIMBA PRIMARY SCHOOL,397
42,62,MWALUVANGA PRIMARY SCHOOL,398
42,63,MWAGODZO PRIMARY SCHOOL,399
42,64,KIDONGO PRIMARY SCHOOL,400
42,65,KIPAMBANI PRIMARY SCHOOL,401
42,66,SHIMBAHILLS SECONDARY SCHOOL,402
42,67,MAKOBE PRIMARY SCHOOL,403
42,68,STEPHEN KANJA PRIMARY SCHOOL,404
42,69,MWAPALA PRIMARY SCHOOL,405
42,70,SIMANYA PRIMARY SCHOOL,406
42,71,KIBUYUNI PRIMARY SCHOOL,407
42,72,MKANDA 1 NURSERY SCHOOL,408
42,73,MWALENI NURSERY SCHOOL,409
42,74,MKUNDI PRIMARY SCHOOL,410
42,75,MAWIA ADULT CENTRE,411
42,76,KATANGINI NURSERY SCHOOL,412
42,77,MSULWA VILLAGE TRADING CENTRE,413
42,78,BOYANI VILLAGE SHOPPING CENTRE,414
42,79,MAGWASHENI PRIMARY SCHOOL,415
42,80,MANGAWANI PRIMARY SCHOOL,416
42,81,MNYALATSONI PRIMARY SCHOOL,417
43,82,PUMWANI NURSERY SCHOOL,418
43,83,MAPONDA PRIMARY SCHOOL,419
43,84,KIBARANI NURSERY SCHOOL,420
43,85,MBARARANI NURSERY SCHOOL,421
43,86,DERI NURSERY SCHOOL,422
43,87,MKOMBA PRIMARY SCHOOL,423
43,88,TIRIBE PRIMARY SCHOOL,424
43,89,MKONGANI PRIMARY SCHOOL,425
43,90,MTSAMVIANI PRIMARY SCHOOL,426
43,91,MZINJI PRIMARY SCHOOL,427
43,92,MIAMBA PRIMARY SCHOOL,428
43,93,MBEGANI PRIMARY SCHOOL,429
43,94,KIZIBE PRIMARY SCHOOL,430
43,95,MIRIHINI PRIMARY SCHOOL,431
43,96,KAJIWENI PRIMARY SCHOOL,432
43,97,MIATSANI PRIMARY SCHOOL,433
43,98,MLAFYENI PRIMARY SCHOOL,434
43,99,TSEREZANI PRIMARY SCHOOL,435
43,100,MTSANGATAMU PRIMARY SCHOOL,436
43,101,BURANI PRIMARY SCHOOL,437
43,102,BAHAKANDA PRIMARY SCHOOL,438
43,103,MWARYARYA NURSERY SCHOOL,439
43,104,MWAMTOBO NURSERY SCHOOL,440
44,1,NGAURO PRIMARY  SCHOOL,441
44,2,MWALUKOMBE PRIMARY  SCHOOL,442
44,3,MAGODZONI PRIMARY  SCHOOL,443
44,4,KIFYONZO  PRIMARY  SCHOOL,444
44,5,MAPHANGA  PRIMARY  SCHOOL,445
44,6,NDAUNI PRIMARY  SCHOOL,446
44,7,MABANDA PRIMARY SCHOOL,447
44,8,GULANZE PRIMARY  SCHOOL,448
44,9,MWACHANDA PRIMARY  SCHOOL,449
44,10,GULANZE YOUTH POLYTECHNIC,450
44,11,NDAVAYA PRIMARY  SCHOOL,451
44,12,GANDINI SOUTH PRIMARY  SCHOOL,452
44,13,BOMANI PRIMARY SCHOOL,453
44,14,MKANG'OMBE  PRIMARY  SCHOOL,454
44,15,MBWALENI  PRIMARY  SCHOOL,455
44,16,MBITA PRIMARY  SCHOOL,456
44,17,MWAKIJEMBE PRIMARY SCHOOL,457
44,18,MWALUVUNO  PRIMARY SCHOOL,458
44,19,VYOGATO PRIMARY  SCHOOL,459
44,20,DZOYAHEWA  NURSERY  SCHOOL,460
44,21,MBULUNI  PRIMARY  SCHOOL,461
44,22,MWANDIMU PRIMARY  SCHOOL,462
44,23,BUMANI PRIMARY  SCHOOL,463
44,24,KAWELU NURSERY  SCHOOL,464
44,25,MAFUNDANI NURSERY  SCHOOL,465
45,26,CHIRIMA CHA UHA PRIMARY  SCHOOL,466
45,27,MAZOL A PRIMARY SCHOOL,467
45,28,MABAMANI  PRIMARY  SCHOOL,468
45,29,GANGANI PRIMARY  SCHOOL,469
45,30,KISIMANI PRIMARY  SCHOOL,470
45,31,BANG'A  PRIMARY  SCHOOL,471
45,32,MALUNGONI  PRIMARY  SCHOOL,472
45,33,BISHOP KALU  PRIMARY  SCHOOL,473
45,34,ROROGI  PRIMARY  SCHOOL,474
45,35,VIGURUNGANI  PRIMARY  SCHOOL,475
45,36,MWANGONI PRIMARY  SCHOOL,476
45,37,MAENDELEO  PRIMARY  SCHOOL,477
45,38,TATA PRIMARY  SCHOOL,478
45,39,NYANGO PRIMARY  SCHOOL,479
45,40,MBILINI  PRIMARY  SCHOOL,480
45,41,KASAGENI PRIMARY  SCHOOL,481
45,42,DZIMANYA  PRIMARY  SCHOOL,482
45,43,GOZANI PRIMARY  SCHOOL,483
45,44,BANG'A NURSERY  SCHOOL,484
45,45,KIDERI PRIMARY  SCHOOL,485
45,46,WAMASA PRIMARY  SCHOOL,486
45,47,MULINGO NURSERY  SCHOOL,487
45,48,KARYAKA  PRIMARY  SCHOOL,488
45,49,METANI  NURSERY    SCHOOL,489
45,50,MAGONGONI NURSERY  SCHOOL,490
46,51,KINANGO PRIMARY  SCHOOL,491
46,52,GWADU PRIMARY  SCHOOL,492
46,53,AMANI PRIMARY  SCHOOL,493
46,54,AMKENI NURSERY  SCHOOL,494
46,55,ST. JOSEPH  PRIMARY  SCHOOL,495
46,56,ST. LUKE'S PRIMARY  SCHOOL,496
46,57,MOYENI PRIMARY  SCHOOL,497
46,58,NG'ONZINI PRIMARY  SCHOOL,498
46,59,DUMBULE PRIMARY  SCHOOL,499
46,60,MWALUGANJE  PRIMARY  SCHOOL,500
46,61,GANDINI CENTRAL PRIMARY  SCHOOL,501
46,62,CHIFUSINI PRIMARY  SCHOOL,502
46,63,LUTSANGANI PRIMARY  SCHOOL,503
46,64,DZIVANI  PRIMARY  SCHOOL,504
46,65,TSUNZA  PRIMARY  SCHOOL,505
46,66,MKILO PRIMARY  SCHOOL,506
46,67,CHIZINI PRIMARY  SCHOOL,507
46,68,SEMBE  PRIMARY  SCHOOL,508
46,69,NZOVUNI PRIMARY SCHOOL,509
46,70,YAPHA  PRIMARY  SCHOOL,510
46,71,KIBANDAONGO PRIMARY  SCHOOL,511
46,72,MITANGANI NURSERY   SCHOOL,512
46,73,MIKANJUNI NURSERY  SCHOOL,513
46,74,DZENDERENI PRIMARY  SCHOOL,514
46,75,MWANGANI PRIMARY  SCHOOL,515
46,76,TSAHUNI NURSERY   SCHOOL,516
47,77,KILIBASI  PRIMARY  SCHOOL,517
47,78,BUSHO PRIMARY  SCHOOL,518
47,79,MGALANI  PRIMARY  SCHOOL,519
47,80,JEFFERY  PRIMARY  SCHOOL,520
47,81,CAFGEM  PRIMARY  SCHOOL,521
47,82,BAHAKWENU  PRIMARY  SCHOOL,522
47,83,FULEYE PRIMARY  SCHOOL,523
47,84,MAGALE PRIMARY  SCHOOL,524
47,85,TARU  PRIMARY  SCHOOL,525
47,86,GURUJO  NURSERY  SCHOOL,526
47,87,CHIGUTU  PRIMARY  SCHOOL,527
47,88,VINYUNDUNI  PRIMARY  SCHOOL,528
47,89,KITUU  PRIMARY  SCHOOL,529
47,90,MAKAMINI PRIMARY  SCHOOL,530
47,91,BUMBURI  PRIMARY   SCHOOL,531
47,92,EGU  PRIMARY  SCHOOL,532
47,93,NYARI  PRIMARY  SCHOOL,533
47,94,METI  NURSERY  SCHOOL,534
47,95,DZISUHUNI  PRIMARY  SCHOOL,535
47,96,MDOMO  PRIMARY  SCHOOL,536
47,97,MELI-KUBWA PRIMARY  SCHOOL,537
47,98,MLUNGUNI  PRIMARY  SCHOOL,538
47,99,MAIYINI  PRIMARY  SCHOOL,539
47,100,MWANATIBU RAILWAY STATION(DISPENSARY),540
48,101,SILALONI  PRIMARY  SCHOOL,541
48,102,MWAROVESA  PRIMARY  SCHOOL,542
48,103,SHAURI MOYO PRIMARY   SCHOOL,543
48,104,MAJI YA CHUMVI PRIMARY  SCHOOL,544
48,105,CHANZOU  PRIMARY  SCHOOL,545
48,106,MTULU  PRIMARY  SCHOOL,546
48,107,CHENGONI  PRIMARY  SCHOOL,547
